cbutter,ceggs,csugar,cflour,cyield
225,0,110,275,25
113,1,85,180,12
171,1,310,240,24
170,2,371,270,48
170,1,250,240,48
500,0,170,750,100
120,1,375,330,48
340,2,250,360,84
230,2,220,550,30
125,1,120,180,10
180,2,500,240,35
125,1,248,210,24
113,1,32,120,15
112,1,165,180,18
200,1,225,300,20
227,1,250,300,24
175,2,200,400,55
227,1,117,292,26
125,2,120,300,20
100,1,125,150,16
227,1,372,270,48
200,2,385,425,10
113,1,170,186,24
250,2,240,480,40
225,1,150,320,24
128,0,70,120,12
250,0,125,600,45
125,1,120,300,28
226.8,2,495,240,44
226,2,361,300,30
227,1,187.5,300,48
100,1,125,200,20
227,1,166.67,240,36
454,2,500,720,36
125,1,246,180,18
227,1,187.5,300,36
300,2,400,600,25
170,1,309,240,24
453.6,2,495,480,48
250,1,170,360,24
